MAE,RMSE,MAPE,NNSE,R2,model
0.0810228264060083,0.0890666265562574,1.0,0.5146758614259594,0.0570295307236619,SVR
0.020796196075524,0.0374618477736858,1.0,0.8570306821609155,0.8331806307347107,DTR
0.021490952871313,0.0373067025191529,1.0,0.858044667810223,0.8345595077794088,RFR
0.0154893881318133,0.0244330639472961,1.0,0.9337402164333456,0.9290383102274956,GBR
0.0375011266709012,0.0714178450154668,1.0,0.6225519607865398,0.3937083761866436,MLP
0.0288168355930613,0.0584153839574613,1.0,0.7114283209843636,0.5943770152186858,FLNN
0.0290061451663423,0.0554732627434925,1.0,0.7321753213953914,0.6342069026661756,AVOA-FLNN
0.0284023429580139,0.0554389906068138,1.0,0.7324176265590355,0.6346587469527586,ARO-FLNN
0.0281707603766273,0.0554938510150853,1.0,0.7320297667428252,0.6339353323710981,RUN-FLNN
0.0288596338040482,0.0559847986212605,1.0,0.7285600897227168,0.6274296189068074,INFO-FLNN
0.0281232213630376,0.0553105519312592,1.0,0.7333257849252951,0.6363495999232164,TLO-FLNN
0.0282828488709582,0.0551125833264018,1.0,0.7347258452694907,0.6389481104571608,SHADE-FLNN
